"plant_id","tray","pot_pos","geno","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry"
"8H4006_15","8H4006",15,"29RV494","115",4,"Sun",1491,3,"ita_col",0.206208781238798,-0.69178876840553,-0.473811537833831,-0.865864627212088,0.53686853464339,0.138661515230926
"8H4006_2","8H4006",2,"8RV283","88",4,"Sun",NA,3,"cvi_col",1.66282867889105,1.34847919516329,NA,NA,NA,NA
"8H4006_3","8H4006",3,"28RV037","18",4,"Sun",781,3,"jea_col",-0.041586431398386,-0.357848798137956,0.590262131547987,0.0907235946028233,0.419345690788654,-0.413501989415722
"8H4006_4","8H4006",4,"21RV450","125",4,"Sun",1230,3,"blh_col",0.427028632720756,-0.423543212774735,0.0953468310755331,-0.304480653519652,-0.905557600333276,-0.0313031401299202
"8H4006_6","8H4006",6,"13RV366","112",4,"Sun",1037,3,"sha_col",0.206208781238798,-1.04163645596987,0.634155478341806,-0.351623333577382,0.698167460899396,1.06302863735947
"8H4006_7","8H4006",7,"27RV379","106",4,"Sun",1036,3,"oy_col",0.206208781238798,-0.423543212774735,0.479765240389381,-0.036186589734136,0.0878246196004178,0.313169909541642
"8H4006_9","8H4006",9,"20RV133","32",4,"Sun",1038,3,"bur_col",0.206208781238798,-0.829579682584728,0.255341541718776,-0.477027745211524,-0.143061068376689,0.870416436193236
"8H4007_1","8H4007",1,"20RV207","61",4,"Sun",1233,3,"bur_col",0.427028632720756,0.436736652678838,-0.184993419719517,0.154330173707703,1.35545222612733,0.436511555511939
"8H4007_10","8H4007",10,"13RV431","130",4,"Sun",1380,3,"sha_col",0.717352592007723,-0.401588189902781,-0.522849284496642,-0.695364332973495,0.496193217968862,0.628952221893229
"8H4007_11","8H4007",11,"7346","STE-0",4,"Sun",1378,3,"accession",0.717352592007723,-0.646431853075174,0.612230269955731,-0.0994872325342734,-0.0616456785080786,1.10449256400752
"8H4007_12","8H4007",12,"27RV517","150",4,"Sun",1377,3,"oy_col",0.717352592007723,0.576795767032231,0.677878461191582,0.876428796996597,-0.45236840233971,-0.748464850559944
"8H4007_13","8H4007",13,"8RV413","132",4,"Sun",1234,3,"cvi_col",0.427028632720756,0.19249466856271,-0.0204953846712669,0.0748375975346664,0.604034014718691,0.0710660503351451
"8H4007_15","8H4007",15,"28RV185","47",4,"Sun",1379,3,"jea_col",0.717352592007723,-0.578901550248442,-0.280272359547358,-0.664263260096803,-1.82608749350177,-1.26753714516405
"8H4007_3","8H4007",3,"21RV166","47",4,"Sun",1232,3,"blh_col",0.427028632720756,0.315298090809669,1.70222910428106,1.46200375203858,1.18017265526627,1.12967458824581
"8H4007_4","8H4007",4,"20RV438","118",4,"Sun",NA,3,"bur_col",1.66282867889105,NA,NA,NA,NA,NA
"8H4007_5","8H4007",5,"28RV437","123",4,"Sun",1595,3,"jea_col",1.25567441751391,0.376182795989478,-0.352372172934729,-0.00449737291779976,0.186229909128858,-0.391966140455466
"8H4007_6","8H4007",6,"21RV451","126",4,"Sun",1035,3,"blh_col",0.206208781238798,-0.760352273685909,1.23189600357143,0.281839228029296,0.287327728464924,0.480854306784825
"8H4007_8","8H4007",8,"8RV492","146",4,"Sun",782,3,"cvi_col",-0.041586431398386,-0.0787019723995265,-0.114153259353538,-0.194240787535681,0.194977506583697,0.000881373052527346
"8H4007_9","8H4007",9,"8RV114","39",4,"Sun",783,3,"cvi_col",-0.041586431398386,-0.5565218248775,0.829605127314498,0.122514410455733,-0.502269213113186,-0.4458324063296
"8H4008_1","8H4008",1,"27RV446","130",4,"Sun",1055,3,"oy_col",0.206208781238798,-0.401588189902781,1.41797726786633,0.682744132119947,0.861519954001566,1.13727340490279
"8H4008_10","8H4008",10,"20RV488","133",4,"Sun",1406,3,"bur_col",0.717352592007723,-1.36177378550166,-1.59950058855075,-1.9401697520179,-0.0914110475289491,0.38719738787461
"8H4008_11","8H4008",11,"13RV002","2",4,"Sun",NA,3,"sha_col",1.50084858465274,0.596668129023671,NA,NA,NA,NA
"8H4008_12","8H4008",12,"29RV631","147",4,"Sun",NA,3,"ita_col",1.50084858465274,0.536950579501293,NA,NA,NA,NA
"8H4008_14","8H4008",14,"21RV235","71",4,"Sun",1245,3,"blh_col",0.427028632720756,0.715218045348787,0.936783087783038,1.1846622258815,0.938205988647417,1.1444147490206
"8H4008_15","8H4008",15,"20RV302","84",4,"Sun",809,3,"bur_col",-0.041586431398386,0.19249466856271,1.08523177686995,0.876428796996597,1.50019539211422,0.537259833463019
"8H4008_2","8H4008",2,"8RV227","68",4,"Sun",810,3,"cvi_col",-0.041586431398386,0.793620611353659,-0.184993419719517,0.441766536922712,0.246505485337339,-0.484370700226759
"8H4008_3","8H4008",3,"28RV301","79",4,"Sun",516,3,"jea_col",-0.477416775850869,0.832639191941222,0.3231652366692,0.827934266351832,0.369544460533202,-0.305662463825025
"8H4008_6","8H4008",6,"13RV428","129",4,"Sun",1244,3,"sha_col",0.427028632720756,-2.30838516257559,-3.1219207249812,-3.06943161491555,-1.43805339502936,-0.28233959747612
"8H4008_7","8H4008",7,"21RV291","85",4,"Sun",517,3,"blh_col",-0.477416775850869,-0.271030635390015,0.764823925931228,0.281839228029296,0.450348440992407,0.169596743054751
"8H4008_9","8H4008",9,"27RV510","149",4,"Sun",811,3,"oy_col",-0.041586431398386,-1.11393304382449,1.43848670298083,0.202100211636777,0.0950533396662894,0.194178606424391
"8H4009_10","8H4009",10,"8RV057","20",4,"Sun",804,3,"cvi_col",-0.041586431398386,-0.946536504493502,-0.874128783907573,-1.28011602414291,-0.552237127887646,-0.176840760327157
"8H4009_11","8H4009",11,"27RV093","27",4,"Sun",802,3,"oy_col",-0.041586431398386,-1.38720849685299,1.23189600357143,-0.131098270674531,0.0395084002451702,0.609750404259756
"8H4009_12","8H4009",12,"27RV498","145",4,"Sun",1067,3,"oy_col",0.206208781238798,0.496969336649992,1.2527073752189,1.24978987530147,0.623590577496778,0.963727050434087
"8H4009_13","8H4009",13,"28RV237","60",4,"Sun",1069,3,"jea_col",0.206208781238798,0.0682372538277782,0.141314085958641,0.0907235946028233,-0.556858073463327,-0.567943495293128
"8H4009_14","8H4009",14,"29RV213","48",4,"Sun",1407,3,"ita_col",0.717352592007723,-1.90117221802091,-1.16114166105029,-1.99909907552576,-0.854514435168062,1.12925129589684
"8H4009_15","8H4009",15,"8RV286","91",4,"Sun",803,3,"cvi_col",-0.041586431398386,0.355925148264826,-0.304243555885595,0.0113568759849923,0.0169660556865354,-0.23354652793402
"8H4009_16","8H4009",16,"29RV168","33",4,"Sun",1068,3,"ita_col",0.206208781238798,-1.04163645596987,-1.10816229879908,-1.47722118679375,-0.413818864587312,0.000881373052527346
"8H4009_3","8H4009",3,"29RV542","124",4,"Sun",800,3,"ita_col",-0.041586431398386,-2.24069719178515,0.345676921251071,-1.23440404447538,-0.736264257684515,0.477543323119608
"8H4009_4","8H4009",4,"27RV002","2",4,"Sun",1066,3,"oy_col",0.206208781238798,-0.227939988081207,0.141314085958641,-0.131098270674531,-0.21251676866714,0.310185367244655
"8H4009_5","8H4009",5,"6967","SE-8",4,"Sun",805,3,"accession",-0.041586431398386,-0.0998763334202285,0.958102695945253,0.554063454536162,-0.00698905466113209,0.0240682067552274
"8H4009_6","8H4009",6,"8RV255","77",4,"Sun",521,3,"cvi_col",-0.477416775850869,-0.806427899690772,0.958102695945253,0.043084537756566,-0.373419464706365,-0.409675654316249
"8H4009_7","8H4009",7,"27RV103","30",4,"Sun",801,3,"oy_col",-0.041586431398386,-0.292654488654064,1.19016897163528,0.58619981645704,0.724415740748998,0.530889374265109
"8H4009_8","8H4009",8,"21RV342","95",4,"Sun",520,3,"blh_col",-0.477416775850869,-0.714571645820287,0.141314085958641,-0.477027745211524,0.292816678282538,-0.34628406638489
"8H4009_9","8H4009",9,"21RV307","89",4,"Sun",806,3,"blh_col",-0.041586431398386,-1.08973760882439,-0.0672125095154778,-0.865864627212088,-0.0983581545713143,0.167942245210174
"8H4010_1","8H4010",1,"27RV342","96",4,"Sun",1403,3,"oy_col",0.717352592007723,-0.423543212774735,1.12731410342529,0.441766536922712,0.228559180589451,0.905306983981001
"8H4010_11","8H4010",11,"27RV290","83",4,"Sun",1248,3,"oy_col",0.427028632720756,-0.80642789969077,0.851119000534591,-0.036186589734136,0.431144957062798,0.691923196059769
"8H4010_12","8H4010",12,"20RV455","122",4,"Sun",NA,3,"bur_col",1.25567441751391,-1.70394507387433,NA,NA,NA,NA
"8H4010_15","8H4010",15,"21RV268","78",4,"Sun",1402,3,"blh_col",0.717352592007723,0.929669046605591,0.894028744580012,1.33131204621935,1.05140134777467,1.02900335973214
"8H4010_2","8H4010",2,"29RV060","10",4,"Sun",NA,3,"ita_col",1.76207308754076,NA,NA,NA,NA,NA
"8H4010_3","8H4010",3,"21RV222","64",4,"Sun",1247,3,"blh_col",0.427028632720756,-0.401588189902781,1.0641361337112,0.409733848376762,0.31098203091955,0.577986553416701
"8H4010_4","8H4010",4,"28RV389","107",4,"Sun",1053,3,"jea_col",0.206208781238798,0.0473794624130474,0.764823925931228,0.52194987098399,0.390334424899999,0.373701516604915
"8H4010_5","8H4010",5,"8RV285","90",4,"Sun",241,3,"cvi_col",-0.823373927890408,-0.423543212774735,-0.498296675299771,-0.695364332973495,-0.76413120040625,-1.5418635930384
"8H4010_6","8H4010",6,"21RV288","84",4,"Sun",1249,3,"blh_col",-0.477416775850869,-1.31128420118174,0.656038096917666,-0.508307272948435,1.90462967561306,0.382949552342916
"8H4010_7","8H4010",7,"8RV310","103",4,"Sun",1054,3,"cvi_col",0.206208781238798,-0.534205581454125,0.118356372104483,-0.367323629256928,0.102250219206186,0.349947737733694
"8H4010_8","8H4010",8,"21RV387","108",4,"Sun",1246,3,"blh_col",0.427028632720756,-0.0575744744645495,0.936783087783038,0.570128797308457,0.619097895072988,0.732977704120849
"8H4010_9","8H4010",9,"8RV242","74",4,"Sun",1404,3,"cvi_col",0.717352592007723,0.871538708970068,-0.256362374804405,0.457791628878003,1.29784213650838,1.37081048127654
"8H4011_1","8H4011",1,"20RV007","2",4,"Sun",NA,3,"bur_col",1.50084858465274,-2.14331772214649,NA,NA,NA,NA
"8H4011_11","8H4011",11,"8RV416","133",4,"Sun",504,3,"cvi_col",-0.477416775850869,-0.578901550248442,0.118356372104483,-0.398703155302864,-0.367925986763833,-0.775271771542405
"8H4011_13","8H4011",13,"8RV323","109",4,"Sun",506,3,"cvi_col",-0.477416775850869,-0.227939988081207,0.699676902061035,0.265879294442183,0.471791551532854,-0.05839568525805
