"geno","plant_id","tray","pot_pos","geno2","shelf","treatment","envelope","rep","cross","bd","h2_h1","h3_h2","h3_h1","i_dry","r_dry","A4","B4","A5","B5","A42","B42","AA","AB","BA","BB"
"20RV_20RV277","8L3012_13","8L3012",13,"74",3,"Shade",729,3,"bur_col",-0.041586431398386,0.294927917394201,0.721433745902751,0.682744132119947,0.979209673561816,0.342669256410629,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV277","9H5012_9","9H5012",9,"74",5,"Sun",1505,4,"bur_col",0.717352592007723,-0.467628074861939,-0.256362374804405,-0.570778753129873,0.276294559282029,1.24646805222251,0.999999999956817,4.31827906766102e-11,-8.88178419700125e-16,1,0.999999999999998,1.88737914186277e-15,-8.88178419661771e-16,0.999999999956818,-3.8354022781393e-26,4.31827906766103e-11
"20RV_20RV281","2H5003_15","2H5003",15,"75",5,"Sun",1495,1,"bur_col",0.427028632720756,-0.00145932141731954,NA,NA,1.88837171609428,0.367979929687066,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,-8.88178419700125e-16,1,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV281","2L2003_15","2L2003",15,"75",2,"Shade",884,1,"bur_col",-0.177391632843378,1.43730133394796,-0.13770887278823,1.06547271304122,1.03100497724556,-0.316293834719969,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,-8.88178419700125e-16,1,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV281","5H5010_5","5H5010",5,"75",5,"Sun",1358,2,"bur_col",0.427028632720756,0.396403687239879,-0.746990502894239,-0.241527258172887,1.07897854125126,1.32318426739823,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,-8.88178419700125e-16,1,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV281","5L2010_5","5L2010",5,"75",2,"Shade",799,2,"bur_col",-0.177391632843378,1.23550114173574,0.255341541718776,1.11961562934844,1.43259878940984,0.200660404764346,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,-8.88178419700125e-16,1,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV281","8H5016_2","8H5016",2,"75",5,"Sun",1438,3,"bur_col",0.717352592007723,0.456849436894316,-1.05554772833919,-0.383016912643403,1.39564408238758,1.57606598903725,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,-8.88178419700125e-16,1,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV281","8L2016_2","8L2016",2,"75",2,"Shade",685,3,"bur_col",-0.041586431398386,-0.852809319620433,1.41797726786634,0.361728844129346,0.770236180202133,0.276160805302773,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,-8.88178419700125e-16,1,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV281","9H6024_11","9H6024",11,"75",6,"Sun",1508,4,"bur_col",0.717352592007723,0.476926885019993,-1.00328791460416,-0.335916053797486,0.841295760472726,0.53662407146756,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,-8.88178419700125e-16,1,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
"20RV_20RV281","9L3024_11","9L3024",11,"75",3,"Shade",NA,4,"bur_col",-0.041586431398386,0.890944438467559,0.368141189209927,0.908785274644174,NA,NA,4.31832347658201e-11,0.999999999956817,-8.88178419700125e-16,1,-8.88178419700125e-16,1,-3.83544172118456e-26,4.31832347658201e-11,-8.88178419661771e-16,0.999999999956818
